hearing_id,case_id,hearing_date,hearing_time,courtroom_number,hearing_type,status,notes,next_hearing_date,scheduled_by_admin_id,created_at
1,1,2026-05-25,0 days 11:21:00,Courtroom-E-7,Initial,Scheduled,Inside those music. Guy yet conference choice gas suffer the accept. A guy need environment feeling television.,2026-06-23,4,2026-05-14 00:31:19
2,2,2026-05-16,0 days 12:44:00,Courtroom-B-6,Evidence,Scheduled,Reality add large probably serve. Happen this condition wind. Professor piece no career use.,2026-07-11,1,2026-05-14 00:31:19
3,3,2026-05-24,0 days 11:19:00,Courtroom-C-6,Final,Scheduled,Eight without specific. It late traditional campaign although. Drive bill early production country perhaps expert.,2026-06-14,5,2026-05-14 00:31:19
4,4,2026-06-02,0 days 11:18:00,Courtroom-F-6,Evidence,Scheduled,Space across its final life job. Since matter floor under energy tree from.,2026-06-24,1,2026-05-14 00:31:19
5,5,2026-01-22,0 days 13:03:00,Courtroom-E-10,Verdict,Completed,Act hospital use. Short stage Mrs final time. Place difference prevent specific lawyer appear.,,3,2026-05-14 00:31:19
6,6,2026-05-19,0 days 09:00:00,Courtroom-D-1,Initial,Scheduled,Room lot page drop paper source. Page career two white. Determine bring difficult place yourself.,2026-07-11,4,2026-05-14 00:31:19
7,7,2026-05-16,0 days 09:23:00,Courtroom-E-6,Initial,Scheduled,Project truth establish no computer. Mean leader hit race ten performance. Think yard last case hard in maintain mean.,2026-07-03,2,2026-05-14 00:31:19
8,8,2026-05-17,0 days 11:59:00,Courtroom-D-4,Follow-up,Scheduled,Protect my section in ever hear. Do space play friend. May street time. No although red.,2026-07-09,2,2026-05-14 00:31:19
9,9,2026-04-07,0 days 09:12:00,Courtroom-E-7,Follow-up,Cancelled,Better task cover this. Also man rich end similar nor.,,3,2026-05-14 00:31:19
10,10,2026-02-25,0 days 11:49:00,Courtroom-F-6,Final,Cancelled,We street defense adult. Front per skin good.,,1,2026-05-14 00:31:19
